Vardas                Pavarde                    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas94              Pavarde94                    1       3       4       6       7       7       2       5      10       8       9       8       9       4       8       5
Vardas95              Pavarde95                    3       7       9       9       4       8       4       1       2       9       5       5      10       7       3      10
Vardas96              Pavarde96                    4       6       1       7       8       8       7      10       2       5       4       9       4       1       6       9
Vardas97              Pavarde97                    2       3       4      10       7      10       7       1       9       6       9       4       9       8       1       8
Vardas98              Pavarde98                    5      10       2       3       8       8       9       4      10       4       7       5       2       3       8       9
Vardas99              Pavarde99                    7       2       3       8       7       3       9       1       2       9       6       5       1       5       9      10
Vardas100             Pavarde100                   3       2       2       1       3       5       2       7       9       1       3       3       4       8       1       9
Vardas101             Pavarde101                   1       7       6       1       3       4       3       9       1      10       5       5       7      10       1       5
Vardas102             Pavarde102                   6       8       5       6       6       5       4       4       6       9       9       5       3       8       1       2
Vardas103             Pavarde103                   4       8       3       2       5       2       7       1       2       2       6       3       3       8       7      10
Vardas104             Pavarde104                   5       5       6       1       6      10       2       9       5       1       8       3       4       4       3       7
Vardas105             Pavarde105                   3       4       9       6       6       5      10       1       5       9       5       3       2       5       6       9
Vardas106             Pavarde106                  10       4      10       5       7       1       2       5       8       6       9       4      10       1       7       5
Vardas107             Pavarde107                   5       1       6       9       2       1       8      10       3       3       5       3       6       7       4       5
Vardas108             Pavarde108                   1      10       6       3       8       1       2       1      10       3       8       4       2       5       5       4
Vardas109             Pavarde109                   2       1       4       7       3       5       9      10       3       6      10      10       9       8      10       7
Vardas110             Pavarde110                  10       4       6       5       3       6       4       7       2       6       9      10       7       5       3       9
Vardas111             Pavarde111                   3       1       4       1       8       5       8       6       7       1       4       3       5       8       9       4
Vardas112             Pavarde112                   7       4       3       1       8       8       3       2       9       9       2       4       3      10       8       3
Vardas113             Pavarde113                   5       8       3       4       5       3      10       7       2       5       2       3       4       4       6      10
Vardas114             Pavarde114                   8       6       1       7       5      10       3       8       3       8       6       8       7       7       8       9
Vardas115             Pavarde115                   6       2       9       7       1       1       9       8       5       9       4       1       8       4       4       1
Vardas116             Pavarde116                  10       4       1       7       8       8       6       4      10       5       4       2       4       8       3       8
Vardas117             Pavarde117                   3       8       3       7       5       1       5       3       6       8       5       6       4       1       4      10
Vardas118             Pavarde118                  10       8       6       8       1       2       1       7       2      10       2       9       6       7       6       3
Vardas119             Pavarde119                   6       1       9       9       5       6       9       9       9       2       7       8       4       4       3       6
Vardas120             Pavarde120                   3       6      10       3       7       4       4       7       3       6       1       9       5       9       6       2
Vardas121             Pavarde121                   8       7       3       1       9       4      10       9       5       3       3      10       9       9       2       5
Vardas122             Pavarde122                   6      10       8       2       8       4       9       8       6       4       8       5       8       6      10       9
Vardas123             Pavarde123                   2       3       4       2       2       8      10       7       8       3       1       3      10       3       2       6
Vardas124             Pavarde124                   5       7      10       4       8       3       5      10       3       9       3       2       8       1       2       2
Vardas125             Pavarde125                   9       2      10       5      10       2       7       7       5       5       5       3       4       5       8       3
Vardas126             Pavarde126                   3       2       6       7      10       9       5       5       1       7      10       2       1       7      10       7
Vardas127             Pavarde127                   9       8       9       1       1      10       3       6       9       3       5       9       7       1       4       8
Vardas128             Pavarde128                   4      10       2       3       6       2       1       8       6       4       8       1       8       5      10       1
Vardas129             Pavarde129                   7       4       5       1       1       9       6       6       3       1       1       5       1       9       8       2
Vardas130             Pavarde130                  10       5       9       4       1       7       8       1       6       7       2       7       2       8       3       8
Vardas131             Pavarde131                  10       7       1       5       2       9       2      10       5       7      10      10       2       3       3       9
Vardas132             Pavarde132                   6      10       5       2       5       8       7       8       7       3       7       9      10       9       2       7
Vardas133             Pavarde133                   1       4       6       3       7       8       6       8       6       4       9       3       2       6       3      10
Vardas134             Pavarde134                   3       1       2       3       8       9      10       8       5       7       7       4       8       4       8       5
Vardas135             Pavarde135                   6      10       9       6       1       2       8       4       7       8       8       9       4       7       5       7
Vardas136             Pavarde136                   7       8       3       9      10       3       1       2      10       4       9       7       8       5       1      10
Vardas137             Pavarde137                  10       7       3       7       6       3       9       1       1       1       9       7      10       7       1       7
Vardas138             Pavarde138                   7       6       7       2       3       7       2       6       4       6       8       9       4       3      10       1
Vardas139             Pavarde139                  10       3       6       8       4       8       3       8       1      10       5       2       2       7       1       8
Vardas140             Pavarde140                  10      10       8       3       8       2      10       4       6      10       1       5      10       2       8       6
Vardas141             Pavarde141                   8       4       3       2       3       5       2       4       7       3       4       9       2      10       7       3
Vardas142             Pavarde142                   1       4      10       6       3       1       4       3       3       3       5       4      10       5       8       3
Vardas143             Pavarde143                   8       1       3       7       9       6       3       5       7       2       1       4       7       7       9       5
Vardas144             Pavarde144                  10       7       1       6       6      10       4       7       5       5       3       4       8       7       8       3
Vardas145             Pavarde145                   1       7      10       6       5       3       9       7       7       9       5       2       5       9       1       8
Vardas146             Pavarde146                   8       8       2       9       4       9       9       8       7       9       7       1      10       9       3       6
Vardas147             Pavarde147                   4       4       5       4       2      10       3       6       8       4       8       8       5      10       8       3
Vardas148             Pavarde148                   8       2      10       9       6       9       4       6       6       2       5       7       1       5       4       4
Vardas149             Pavarde149                   4       4       8       9      10       4       5      10       1      10       7       3       2      10       6       1
Vardas150             Pavarde150                  10       4       1       3       4       6       2       7       8       6       4       1       7       1       8       4
Vardas151             Pavarde151                  10       3       8       8       8      10       6       7       4      10       2       4       9       9       1       3
Vardas152             Pavarde152                   1       9       9       5       7       1       4       2       1       9       9       1       5      10       8       9
Vardas153             Pavarde153                   1       6       5       1       3       1       7      10       3       6       8       2       2       8       3       7
Vardas154             Pavarde154                   1       4       7       4       8       9       4       5       3       1       6      10       1       6       9       9
Vardas155             Pavarde155                   1       2      10       1       8       2       6       4       9       1       9       2       3       7       2       7
Vardas156             Pavarde156                   6       3       1       1       3       9       8       4       6       6      10       9       3       1       6       3
Vardas157             Pavarde157                   2       7       6       9       9       8      10       7       1       3       6       1       1       8       6       1
Vardas158             Pavarde158                   4       8       8       1       8       6       1       3       8      10       9       1       2       3       9       5
Vardas159             Pavarde159                   9       3       3      10       2       8       6       8       5       8       9       8      10       9       6       8
Vardas160             Pavarde160                   6      10      10       7       1       9       6       4       3       9       9       1       5       3       7       1
Vardas161             Pavarde161                   3       4       8       4      10       6      10       4       6      10       1       4       7       5       1       1
Vardas162             Pavarde162                   7       4       5       1       2       4       2       3       3       3       1       5       8      10       2       7
Vardas163             Pavarde163                   2       1       2      10       6      10       1       3       4       5       4      10       1       4       9       5
Vardas164             Pavarde164                   3       8       5       9       2      10       8       6       9       6       5       4       3      10       8       6
Vardas165             Pavarde165                   4       1       4       2       9       3       4       6      10       5       1       9      10       4       6      10
Vardas166             Pavarde166                   5       3      10      10       9       5       2       8       3       8       4      10       5       6       9       4
Vardas167             Pavarde167                   3       3       9       3       6       1      10       6       5      10       9       4       3       4       1       4
Vardas168             Pavarde168                   4       9       3       7       6       3      10       7       3       4      10       3       7       4       4       6
Vardas169             Pavarde169                   7       8       6       5       3       6       4       5       2       8       7       8       7       4       5       6
Vardas170             Pavarde170                   7      10       7       6       4       3       2       6       2       6       4      10       3       8       6      10
Vardas171             Pavarde171                   1       1       1       4       9       7       2       5       5       1       9       3       9      10       8       1
Vardas172             Pavarde172                   8       2       2       2      10       9       7       6       1       8       8       7       2       2       4       5
Vardas173             Pavarde173                   3       5       6       3       7       9       6       3       9       9       5       6       2       3       3       7
Vardas174             Pavarde174                   3      10       2      10       7       1       4       9       7       1       2       1       8       4      10       6
Vardas175             Pavarde175                   9       4       7       8      10       6       3       2       7       1      10       2       5       7       9       1
Vardas176             Pavarde176                   3       1       3       7       7      10       1       8       5       2       7       1       2       2       9       8
Vardas177             Pavarde177                   6       4       5       9      10       2       6       2       7       9       1       7       3       2       7       3
Vardas178             Pavarde178                  10       9       8      10       1       5      10      10       4       2       7       4       3       1       7       7
Vardas179             Pavarde179                   3       5       9       1       5       8       5       4       6       6       3       2       1       1       6       1
Vardas180             Pavarde180                   3       5       5       4       2       1       9       8       1       2       4       7       5       5       2       1
Vardas181             Pavarde181                   2       7      10       5       6       3       7       1       6       5       9       6       1       7       3       8
Vardas182             Pavarde182                   9       3       9       8       1       7       5       8       3       7       1      10       4       6       2       7
Vardas183             Pavarde183                   1       7       1      10      10       7       6       5       6       3       7       8       2       5       7       4
Vardas184             Pavarde184                   5       2       9       7       2       5       5       5       6       4       3       4       9       5       6       9
Vardas185             Pavarde185                   2       8       9      10       3       3       9       3       3       1       2       4       7       1       5      10
Vardas186             Pavarde186                   4       4       1       2       2       2       1      10      10       4       2       9       3       1      10       2
Vardas187             Pavarde187                   2       7       5       6       5       7       4       9       4       7       3      10      10       7       6       9
Vardas188             Pavarde188                   8       9       4       8       3       7       2       6       6       4       4       8       2       7       7      10
Vardas189             Pavarde189                   9       6       1       1       5       7       9       9       8       8       5       1       9       3       7       1
Vardas190             Pavarde190                   3       6      10       6       7       8       6       8       4       4       5       4       6       7       3       5
Vardas191             Pavarde191                   3       5       7       5       1      10       6       3       8      10       2       8       4       5       5      10
Vardas192             Pavarde192                   1       1       3       9       3      10       8       9       7       5       4       1       1       4       6       6
Vardas193             Pavarde193                  10       8       4       2       1       9       5       9       1       6       6       9       5       2       3       6
Vardas194             Pavarde194                  10      10       3       6       3       1       1       5       6       7       2       1       7       3       2       4
Vardas195             Pavarde195                   9       7       7       7      10       5       3       9       4       6       8       4       6      10       7       5
Vardas196             Pavarde196                   4       1       5      10       4       7       9       8       9       8       7       1       1       9       3       3
Vardas197             Pavarde197                   1       7       6       9       5       9       4       4       9       3       6       4       4       5       3       2
Vardas198             Pavarde198                   3      10       4       9       2       8       7       8       8       7       5       1       7       9       3       3
Vardas199             Pavarde199                   7       4       3       8       4       6       5       5       5       4       4       9       1       1       2       2
Vardas200             Pavarde200                   8       9       5       7       7       1       1       3       5       9       5       4       1       5       5       7
Vardas201             Pavarde201                   9       3      10       8       4       5       6       2       2       8       6       1       4      10       1       5
Vardas202             Pavarde202                   9       8       5      10       8       9       3       7       1      10       1       8       4       2      10       7
Vardas203             Pavarde203                   8       6       5       3       1       9       3       1       3       6       4       2      10       2       9       2
Vardas204             Pavarde204                  10       4       6       9       3      10       7       8       6       3       9       5       9       4       6       6
Vardas205             Pavarde205                   4      10       5       5       7       5      10       4       7       1       1       5       9       7       5       8
Vardas206             Pavarde206                   8       4       7       6       4       8      10       7      10       9       8       6       8       8       5       2
Vardas207             Pavarde207                   7       7       1       9       6       4       2      10       7       7       7       7       5       2      10       7
Vardas208             Pavarde208                   3       3       3       6       1       3       9      10       9       5       3       9       7       4       6       4
Vardas209             Pavarde209                   1       3       1       7      10       2       9       8       4      10       2       2       7       4       7       3
Vardas210             Pavarde210                  10      10       2       5       7       3       8       4       1       9       6       1       1       9       8       9
Vardas211             Pavarde211                   7       2       3       5       4       6       6       9       4       4      10       7       2       7       9       5
Vardas212             Pavarde212                   4       4       6       3       4       1       1       2       1      10       1       4       1       9       7       9
Vardas213             Pavarde213                   2       7       5       8       2       9      10       2       1       8       7       5       9       1       8       7
Vardas214             Pavarde214                   5      10       3       3      10      10       1       3       3       3       5       6       5       1       8       4
Vardas215             Pavarde215                   5       3       9       5       3       8       4       1       8       6       7       1       2       6       8       8
Vardas216             Pavarde216                  10       8       4       7       1       3       5       1       8       5       3       9       2       9      10       8
Vardas217             Pavarde217                   2       8       3       9       7       7       6       6       3       8       7       5       6       5       6       1
Vardas218             Pavarde218                   3       5       8       5       4       7       9      10       2       5       4       8      10       5       9       5
Vardas219             Pavarde219                   7       8       9       2       4       7       7       9       9      10       3       7       9       3       1       6
Vardas220             Pavarde220                   5       8       5      10       7       8       7       8       5       5      10       5       8       8       9       5
Vardas221             Pavarde221                   5       8       7       6       6       6      10       2       1       4      10       6       7       7       5       8
Vardas222             Pavarde222                   4       8       2       6       1       2       2       4       5      10       3       5       5       1       8       3
Vardas223             Pavarde223                   2       8       4       3       3       2       6       8       8       1       2       7       3       6       6       3
Vardas224             Pavarde224                   2       5       3      10       4       7       5       6      10       4       9       1       5       6       9       3
Vardas225             Pavarde225                   8       5       9       6       4       4       1       1       9       9      10       3       5       4       5       9
Vardas226             Pavarde226                  10       9       2       5       5       4       9      10      10       9       2       3       6       8       6      10
Vardas227             Pavarde227                   5       7       7       2       1       9       8       9       5       7       6      10       5       2       1       8
Vardas228             Pavarde228                   3       6       3       8       3       6       8       9       8       3       3       3       1       5       3       3
Vardas229             Pavarde229                  10       7       6       8       8      10      10       5       9       9       6       2       5       9      10       7
Vardas230             Pavarde230                   3       2       2       6       9       5       7       5       2       3       2       1       4       7       4       5
Vardas231             Pavarde231                   8       3       3       5       7       4       7       3       9       2      10       7       9       2       4      10
Vardas232             Pavarde232                   1       2       1       4       5       6       9       6       1       9       1       4      10       9       5       1
Vardas233             Pavarde233                   8       3       9       2      10       8       7       6       3       5       8       7      10       3       4       9
Vardas234             Pavarde234                   5       9       6       2       5       1       5       9       9       7       3       1       7       8       6       3
Vardas235             Pavarde235                   7       9       5       2       9       3       7       5      10       3       7       7      10       5       7       7
Vardas236             Pavarde236                   8       2      10      10       5       5       8       8       4       9       8       1      10       1       7       5
Vardas237             Pavarde237                   5       8       4      10       1       6       8       6       5       3       1       9       4       7       4       8
Vardas238             Pavarde238                   5       4       2       6       4       5       4      10       7       3       5       3       2       6       5       8
Vardas239             Pavarde239                   5       9       4      10       9       8      10       6       3       9       1      10       8       1       2       6
Vardas240             Pavarde240                   6       7       4       6       7       7       5       2       7       8       7       8       3       2       8       8
Vardas241             Pavarde241                   7       2       9       7       7       5       8       8       3       7       3      10       3       7       1      10
Vardas242             Pavarde242                   9       6      10      10       1       4       4       3      10       6       9       5       2       6       1       1
Vardas243             Pavarde243                   4       8      10       8       1       9       4       7       5       9       9       4       9       4       8       1
Vardas244             Pavarde244                   3       3       7       5       1       8       3       6       8      10       8       3       1       9       4       1
Vardas245             Pavarde245                   2       3       6       9       8       6       3       4       2       5       4      10       8       8       1       7
Vardas246             Pavarde246                   5      10       3       7       4      10       7       5       4       5       6      10       3       2       3       3
Vardas247             Pavarde247                   3      10       7       2       1       5      10       4       3       9       1       7       6       6       8       6
Vardas248             Pavarde248                   4       6       4       2       5       3       4      10       3       4       2       6       9       9       3       4
Vardas249             Pavarde249                   8       1      10       9      10       3       8       3      10       5       3       4       7       1       5       5
Vardas250             Pavarde250                   8       7       6       5       5       4       3       4       4       5       2       5       2       4       1       9
Vardas251             Pavarde251                   9       8       7       1      10       5       5       2       5       8       6       8      10      10       8       8
Vardas252             Pavarde252                   4       7       7       8       2       5       3      10       3       9       2       5      10       1       4       6
Vardas253             Pavarde253                   7       6       2       7       7       3       6       4       9       6      10       7       5       6       3       4
Vardas254             Pavarde254                   6       3       6       8       5       7       1       2       5       9       7       9       5       5       9       2
Vardas255             Pavarde255                   9       9       9       3       9      10       3       3       7       9       1       8       9       8       8       7
Vardas256             Pavarde256                   5       2       6       8       2       4       2       6       3      10       2       7       1       6       8       4
Vardas257             Pavarde257                   8       6       3       3       5       3       9       9       1       1       4       4       2      10       2       4
Vardas258             Pavarde258                   3       1       6       7       2       4       4       4       2       6       1       5       2       9       4       4
