Vardas                Pavarde                    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas125             Pavarde125                   1       6       1      10       8      10       2       8       9       2       1       7      10       7       7       8
Vardas126             Pavarde126                   8      10       3       7       3       8       7       5       9       7       5       2       7       7       5       6
Vardas127             Pavarde127                   9       1       2       9       3       8       4       5      10       8       8       2       6       7       9       7
Vardas128             Pavarde128                   5       1       3      10       3       1       5       5       2       3       5       2       9       2       4       7
Vardas129             Pavarde129                  10       6       1       7       5       4       1       6       2       3       1       5       9       7       7       6
Vardas130             Pavarde130                   3      10       9       7       3       8       9       7       7       9       8       9      10       4       5       1
Vardas131             Pavarde131                   1       5       3       6       9       9       8       3       3       3       6       8       6       8       6       8
Vardas132             Pavarde132                   8       2       3       7       5       5       5       3      10       3       3       3       6       8      10       7
Vardas133             Pavarde133                   5       9       4       9       9       2       7       6       3       8       6      10       6       2       4       3
Vardas134             Pavarde134                   3      10       4       2       5       7       3      10       8       7       7      10       1       6       6       1
Vardas135             Pavarde135                   8       3       3       4       4      10       9       4       4       9       5       8       6       7       9      10
Vardas136             Pavarde136                   9       3       6       7       7       2       2      10       7      10       2       9       6       2       5       5
Vardas137             Pavarde137                   2       1       5       6       6       9       9       6       1       9       4      10       7       8       2       9
Vardas138             Pavarde138                   3       7       3       7       2       7       6       4       6       2       3       3       3      10       3      10
Vardas139             Pavarde139                  10       7       5       4       4       7       7       8       1       5       9      10       9       7       2       7
Vardas140             Pavarde140                   3       4       3       7       9      10       6       4       7       7       5       3      10       5       1      10
Vardas141             Pavarde141                  10       3       2       9       2       5       2       5       3       4       8       6       6       1       9       3
Vardas142             Pavarde142                   3       7       4       6       1      10       4       7       1       9       2      10      10      10       7       3
Vardas143             Pavarde143                   6       1       6       6       8       5       7       7       5       7      10       3       7      10       3      10
Vardas144             Pavarde144                   9       2       3       5       9       7       1       7       6       2       4       7      10       5       6       5
Vardas145             Pavarde145                  10       3       6       9       8       9       8       2       4       2       3      10       2       2       7       3
Vardas146             Pavarde146                   4       1       7       6       2       6       5       2       5       9      10       8       5       5       8       1
Vardas147             Pavarde147                   4       9       1       9       2       7       2       4       4       2       4       7       4       5       1       4
Vardas148             Pavarde148                  10       3       2       4       1       4       5       3      10       9       4       3       1       5       9       7
Vardas149             Pavarde149                   7       1       8       9       8       8       7       8       1      10      10      10      10       8       3       1
Vardas150             Pavarde150                   9       9       7       4       2       7       7       2      10      10      10       1       9      10       1       7
Vardas151             Pavarde151                   9       5       8       9       6       3       3       2       2       8       4       9       6       7       4       3
Vardas152             Pavarde152                   6       3       8       1       9       3       2       9       9       9       3       9       4       3       4       3
Vardas153             Pavarde153                   8       2       8       1       4       4       1       6       6       8       4       9       1       5       2       4
Vardas154             Pavarde154                   9      10       7       7       4       8       7      10       4       9       5       8       4       6       3       6
Vardas155             Pavarde155                   3       6       3       2      10       6       2       5       9       9       1       9       7       5       2       3
Vardas156             Pavarde156                   2       3       6       7      10       6       3       6       7       9       9       3       5       1       3       1
Vardas157             Pavarde157                   4       9      10      10      10       2       1       7       9       3       9       5       8       6       4       2
Vardas158             Pavarde158                   2       4       4       6       6      10       4       7       1      10       1       7       7      10       7       4
Vardas159             Pavarde159                   2       6       3       7       1       2       4       1       4       7       9       3       2       2       7       2
Vardas160             Pavarde160                   3       4       5       5       4       7       8       5       6       9       7       4      10       5       2       2
Vardas161             Pavarde161                   9       9       9       8       6       7       1      10       3       6       5       7      10       5       8       7
Vardas162             Pavarde162                   9       7       3       7       6       3       6       8       2       4       9       2       1       2       8       4
Vardas163             Pavarde163                   8       5       7       3       7      10       4      10       1       7       7      10       3       8       5       4
Vardas164             Pavarde164                   5       8       2       3       9       8       1       9       1      10       7       4       2       4       7       9
Vardas165             Pavarde165                   4       1       9       5       3       6       9      10       1       9       4       1       7       7       6       3
Vardas166             Pavarde166                   7       1       9       5       8       8       1       4       1       2       1       1       9       3       5       5
Vardas167             Pavarde167                   4       8       4       9       1       9       9       5       9      10      10       7       4       9       3       1
Vardas168             Pavarde168                  10       8       4       2       7       2       8       2       9       5       5       8       9       4       4       8
Vardas169             Pavarde169                   1       8       8       8       1       8       2       2       3       3       2       1       6       4       2       1
Vardas170             Pavarde170                   4       8       4       9       7       7       8       2       4       3       9       6       3       9       4       5
Vardas171             Pavarde171                  10       2       3       2       8       1       4       3       4       1       2      10       8       3       8       3
Vardas172             Pavarde172                   6       3      10      10       3       5       8       7       6       4       3       8       3      10       7       2
Vardas173             Pavarde173                   5       3       9       7      10       4       4       1      10       3       9       5       6       9       9       2
Vardas174             Pavarde174                   8       7       9       9       9       2       3       2       6       4       1       8       2       5       3       9
Vardas175             Pavarde175                   8       2       7       4       3       2       7      10       8       5       1       5       4       3      10       8
Vardas176             Pavarde176                   8       9       8       1       9      10      10       2       9       9       5       9       4       1       8       5
Vardas177             Pavarde177                   8       1       8       2       2       3       1       3       6       2       8       2       8       5       3       4
Vardas178             Pavarde178                   2       2       9       2       4       4       7       1       4       1       3      10       6       3       6       5
Vardas179             Pavarde179                   2       4       6      10       7       1       4       5       1       3       9       1       2       5       6       8
Vardas180             Pavarde180                   4       5       9       1       7      10       1       3       9       2       5       8       9       8       9       1
Vardas181             Pavarde181                  10       8       2       9       7       1       9       3       5       9       9       8      10       5       8       4
Vardas182             Pavarde182                   4       1       2      10       7      10       5       9       9      10       3       8       8       4       1       4
Vardas183             Pavarde183                   8       9       3      10       7       3      10       5       5       8      10       9       9       1       5       4
Vardas184             Pavarde184                   1       7       5       7       4       1       6       8       7       8       3       3       3       8      10       3
Vardas185             Pavarde185                   1       6       7       9       7       1       2       4       3       5       4       3       7       2       5       9
Vardas186             Pavarde186                   6       2       3       9       3       9       7       1      10       9       6       6       4       3      10       5
Vardas187             Pavarde187                  10       9       6       4       7      10       9       9      10       9       9       1       3       5       5       2
Vardas188             Pavarde188                  10       1       9       1       5       9       1      10      10       1       7       2       4       3       7       8
Vardas189             Pavarde189                   6      10       4       9       1       3      10       5       6       5       1       3       2       4       6       8
Vardas190             Pavarde190                   8       9       7       4       3       5       2       7       6       9       4       6       7       1       4       2
Vardas191             Pavarde191                   9       8       8       7       5       5       4       2      10       8       3       1      10       1       8      10
Vardas192             Pavarde192                   9       7       2       8       5      10       4       7       7       2       5      10       1       4      10       1
Vardas193             Pavarde193                   2       5       6       4       9       6       4       7       2       6       3       6       1       7       2       4
Vardas194             Pavarde194                   5       4       2       3      10      10       6       7       7       3      10       9       7       9       6       6
Vardas195             Pavarde195                   6       8       6       3       5       1       6       1       1       8       1       4       7       8       2       6
Vardas196             Pavarde196                   4       2       6       8       6      10       5       1       7       5      10       8       2       2       1      10
Vardas197             Pavarde197                   2       2       5       8       4       5       5       3       2       7      10       4       1       6      10       9
Vardas198             Pavarde198                  10       7       4       5       4       7       3       7      10       7       7       7       5       8       3       5
Vardas199             Pavarde199                   2       3       4      10       7       6       2       8       1       2       2       8       3       5       3      10
Vardas200             Pavarde200                   7       3       1       7       1       6       3       4       8       1       6       1       6      10       2       7
Vardas201             Pavarde201                   6       8       6       3       3       2       6       8       3       7       5       9       3       6       2       8
Vardas202             Pavarde202                   8       6       4       7       7       8       3       2       6       5       7       6       8       9       1       5
Vardas203             Pavarde203                   8       9       5       7       1       8      10       3      10      10       2       9       2       2       8       6
Vardas204             Pavarde204                   2       8       3       1       8       8       3       6       7       8       2       1      10       5       4       5
Vardas205             Pavarde205                   6       9       1       3       2       3       6       5       6       3       8       5       3       5       3       5
Vardas206             Pavarde206                   5      10       7       1       7       7       5       1      10       5       7       7       2       4       7       4
Vardas207             Pavarde207                   3       6       8       9       8       4      10       1      10       4       7       2       9       9       4       9
Vardas208             Pavarde208                   7       7       2       9       8      10       4       6       4       2       6       1       8       6      10       5
Vardas209             Pavarde209                   8       1       3       8       7       1       7       3       4       4       7       5      10       4       2       3
Vardas210             Pavarde210                   5       6       1       9       8       2       9       3       5       5      10       8       8       9       1       2
Vardas211             Pavarde211                  10       2       5       8       2       1       6       4       5       8       6       7       5       2       9       3
Vardas212             Pavarde212                  10       8       6       2       2      10       7       8       4       3       1       8       2      10       3       9
Vardas213             Pavarde213                   8       3       1       7       2       1       8       5       7       2       2       5      10       5       3      10
Vardas214             Pavarde214                   4       2       5      10       2       2       4       9       9       2       8       9       4       6      10       7
Vardas215             Pavarde215                   5       1       4      10       4       8       1       2       4       3       1       9       3       8       8       2
Vardas216             Pavarde216                   9       7       9       3       4       4       5       3      10       4       1       2       2       1      10       5
Vardas217             Pavarde217                   5       9       3       3       9       8       1       6       9       5       8       5       1       5       8       7
Vardas218             Pavarde218                   4       8       4       1       9       8       2       2       8       5       7       5       7       4       5       1
Vardas219             Pavarde219                   5       1       2       4       3       8       4       7       7       6       4       7       9       5       5       1
Vardas220             Pavarde220                   1       1       5       1       8       8       9       2      10       1       5       7       9       6       6       4
Vardas221             Pavarde221                   6       3       5       5      10       7       9       3       4       4       1       1       3       4       2       8
Vardas222             Pavarde222                   5       6       4       9       2       9       5       2      10       1      10       4       4      10       5       3
Vardas223             Pavarde223                   4       2       9       8       9       4       3       3       1       3       9      10       6       9       4       7
Vardas224             Pavarde224                  10       9       6      10       7       9       8       7       1       8       8       8       5       4      10       6
Vardas225             Pavarde225                   6       8       8      10       3       2       4       9       9       9      10      10       6       2       7       1
Vardas226             Pavarde226                   6       6       8       7       7      10      10       2       8       8      10       2       1       4       7       6
Vardas227             Pavarde227                   9       2       5       8       1       8       7       7      10       8       8       3       7       8      10       3
Vardas228             Pavarde228                   1       6       8      10       4       2       1      10       9       5       8       7       4       2       1       2
Vardas229             Pavarde229                  10       9       9       3       4       4       2       7       1       5       8       6       5       5      10      10
Vardas230             Pavarde230                  10       3       9       7      10       2       6       9       1      10       9       9       5       8       7       4
Vardas231             Pavarde231                   4       4       4       6       7       1       7       6       1       1      10       1       6       6       6       9
Vardas232             Pavarde232                   3      10       4       3       8      10       3       9       5       6       1      10       6       3      10       2
Vardas233             Pavarde233                   4       5       3       4       2       2       6      10       8       3       1       3      10       4       9       2
Vardas234             Pavarde234                   5       9       1       8       1       7       1       1       6       8       9       1       5       8      10       6
Vardas235             Pavarde235                  10       3       3       3       5       5       5       9       1       3       2       2       2       2       8       3
Vardas236             Pavarde236                   1       6       1       6      10       7       6       3       7       2       5       9       3      10      10       3
Vardas237             Pavarde237                   4       7       5       3       2       8       4       8       7       2       1       7       9       1       3       8
Vardas238             Pavarde238                   8       3       8      10       4       3       2       2       5       2       6       8       1       6       2       6
Vardas239             Pavarde239                   1       9       1       5       9       7       3       1       8       9       5       1       1       1       5       2
Vardas240             Pavarde240                  10       2      10       3       5       2       4       2       5      10       9       5       4       8       5       1
Vardas241             Pavarde241                   8       5       1       4       4      10       3       8       3       3      10       9       9       5       7       9
Vardas242             Pavarde242                   4       4       7       5       7       3       8       4      10       9       1       8       9       6      10       2
Vardas243             Pavarde243                   2       2       7      10       2       8       5       7       4       1       7      10      10       7       2       2
Vardas244             Pavarde244                   6       3       2       4       6       5       4       7       3       3       3       7       9       7       2       8
Vardas245             Pavarde245                   8       7       6       2       9      10      10       1       2       4       9       1       1       8       6       2
Vardas246             Pavarde246                   9      10       4       2       9       4       5      10       7       4       5       5       8       8       4      10
Vardas247             Pavarde247                  10       5       9       9       8       7       2       9       7       3      10      10       3       7      10      10
Vardas248             Pavarde248                   4       6      10       3       3       9       7       6       4       4       8       2       1       2       6       9
Vardas249             Pavarde249                   6       3       7       2       6       5       9       9       9       5       1       3       5       7       8       2
Vardas250             Pavarde250                   5       3       1       8       5       9       2       5       8       7       3       4       7       4       6       4
Vardas251             Pavarde251                   4       8       7       1       4       8       9       9      10       3       6       6       8       4       4       5
Vardas252             Pavarde252                   6       3       4       5       1       2       1       3       2       4       2      10       6       5       5       8
Vardas253             Pavarde253                   7       4       6       9       3      10       1       9       1       1      10       9       5       4       2       4
Vardas254             Pavarde254                   6      10       7      10       1      10       6       4       3       5       7       4       5       4      10       5
Vardas255             Pavarde255                   7       6      10       3       1       2      10       6       8       5       8       2       7       5       1       7
Vardas256             Pavarde256                   5       4      10       4       7       4       7       3       9       6      10       6       7       5       4       5
Vardas257             Pavarde257                   1       3       3       4       2       9       5       9       4      10       1       2      10       5       8       3
Vardas258             Pavarde258                  10       1       5       9       9       9       2       6      10       9       8       7       8       4       2       2
Vardas259             Pavarde259                   4       5       4       7       7       5       1       5       2       5      10       7       1       4       4       2
Vardas260             Pavarde260                   2       5       1       8       3       4       4       5       9       5       1       1       3       5       4       5
Vardas261             Pavarde261                   3       4      10       8       2       9       1       7       8       3       2       4       1       7       4       1
Vardas262             Pavarde262                   1       9       6       7       3       2       3       5       3       5       3       8       9       5       5       4
Vardas263             Pavarde263                  10       4       7       7       4       9       6       4       6       1       2       4       2       6       9       9
Vardas264             Pavarde264                   1       4       8       9      10       1       9       7       8       3       6       4       1      10       1       9
Vardas265             Pavarde265                   4       2       3       6       6       7       3       6       1       8       4       5       8       6       8       6
Vardas266             Pavarde266                   1       5      10       6       9       5       4       6       7       1       8      10       7       8       7       5
Vardas267             Pavarde267                   7       4      10       5       2       9       2       7       1       2       9       6       9       9       5       2
Vardas268             Pavarde268                   2       6       5       1       1      10       8       7      10       6       9       3       6      10       3       8
Vardas269             Pavarde269                   7       3      10       5       7       2       3       7       9      10       8      10       6       8       2       5
Vardas270             Pavarde270                   2       5       3       4       5      10       1       2       5       9       9       1       2       3       2      10
Vardas271             Pavarde271                   9       4       6       2       5       8       1       8       5       5       9       9       1       7       2       7
Vardas272             Pavarde272                  10       5       2       2       2       2       4       2       1       7       6       5       4       7       4       3
Vardas273             Pavarde273                   3       8       2       8       7       4       1       2       1       8       5      10       3       5       6       7
Vardas274             Pavarde274                   2       5       3       1       1       5       2       6       1       3       2       6      10       5       4       9
Vardas275             Pavarde275                   3      10      10       7       6       7       2       1       6       8       7       4       6       3       9       9
Vardas276             Pavarde276                   2       6       6       9       9       2       7       2       2       8       8      10       8       1       8       5
Vardas277             Pavarde277                   1       1       7       9       6       5       5       2       6       5       7       4       2       9      10       3
Vardas278             Pavarde278                   7       6       5       9      10       9       7       2       9       5       6       6       5       1      10       7
Vardas279             Pavarde279                   5       5       6       7       8      10       3      10       4       8       6       4       7      10       5       1
Vardas280             Pavarde280                   2       8       6       5       1       5       5       1       4       1       1      10       4       6      10       5
Vardas281             Pavarde281                   1       4       1       3       4       8       2       7      10       1       6       2      10       2       9      10
Vardas282             Pavarde282                   6      10       2      10       8      10       5       4       5       4       2       2       2      10       9       5
Vardas283             Pavarde283                   8       6       3       5       3       5      10      10       7      10       3      10       9       6       7       8
Vardas284             Pavarde284                   6       1       7       6       6       4       6       1       4       3       8       2       6       8       6       7
Vardas285             Pavarde285                   3       8       5       7       2       1       3      10       2       6       4       1       3       5       9       3
Vardas286             Pavarde286                   7       3       1       8       4       2       4       8       8       7       9       6      10       7       6       7
Vardas287             Pavarde287                   8       8       9       8       1       3       1       3       7       3       7       5       6       6       2       4
Vardas288             Pavarde288                  10       3       2       1      10       5       1       9       2       1       1       3      10       1       7       3
Vardas289             Pavarde289                   4       7       8      10       3       3       7       1      10      10       6       1      10      10       4       3
Vardas290             Pavarde290                   9       3       4       3       2      10       3       7       5       6      10       5       9       6      10       3
Vardas291             Pavarde291                   1       3       9       9       7       7       8       2       6       2       3       3       3       3       1       8
Vardas292             Pavarde292                   3       5       1       4       7       3       9       4       3       5       1       7       2       8       6       3
Vardas293             Pavarde293                   5       9       1       3       7      10       7       2       5       2       8       8       1       1       4       6
Vardas294             Pavarde294                   8       6       5       4      10      10       6       6       3       7       4      10       7       1      10       1
Vardas295             Pavarde295                   3       5       2       2       9       1      10       6      10       7       3       9       8       9      10       9
Vardas296             Pavarde296                   7       4       5       9       4       5       3       4       6       6       7       6       1       4       6       5
Vardas297             Pavarde297                   5       8       5       7       3       9       4      10       2       3       9      10       9       8       9       5
Vardas298             Pavarde298                   5       5       8       4       2       7       6       4       1       7       1       1       7       2       4       8
Vardas299             Pavarde299                   4       8       9       7       9       1       8       6       7       1       1       5       3       3       4      10
Vardas300             Pavarde300                   8       7       8       1       5       4       6       3       1       6       6       5       3      10       2       3
Vardas301             Pavarde301                   9       6       9       7       9       8       3       3       1       4       6       3       4       7       3       8
